bin,from,to,"<-","=",":=","<<-","->","->>"
256,5100,5119,0,0,0,0,0,0
257,5120,5139,0,0,0,0,0,0
258,5140,5159,0,0,0,0,0,0
259,5160,5179,0,0,0,0,0,0
260,5180,5199,0,0,0,0,0,0
261,5200,5219,0,0,0,0,0,0
262,5220,5239,0,0,0,0,0,0
263,5240,5259,0,0,0,0,0,0
264,5260,5279,0,0,0,0,0,0
265,5280,5299,0,0,0,0,0,0
266,5300,5319,0,0,0,0,0,0
267,5320,5339,0,0,0,0,0,0
268,5340,5359,0,0,0,0,0,0
269,5360,5379,0,0,0,0,0,0
270,5380,5399,0,0,0,0,0,0
271,5400,5419,0,0,0,0,0,0
272,5420,5439,0,0,0,0,0,0
273,5440,5459,0,0,0,0,0,0
274,5460,5479,0,0,0,0,0,0
275,5480,5499,0,0,0,0,0,0
276,5500,5519,0,0,0,0,0,0
277,5520,5539,0,0,0,0,0,0
278,5540,5559,0,0,0,0,0,0
279,5560,5579,0,0,0,0,0,0
280,5580,5599,0,0,0,0,0,0
281,5600,5619,0,0,0,0,0,0
282,5620,5639,0,0,0,0,0,0
283,5640,5659,0,0,0,0,0,0
284,5660,5679,0,0,0,0,0,0
285,5680,5699,0,0,0,0,0,0
286,5700,5719,0,0,0,0,0,0
287,5720,5739,0,0,0,0,0,0
288,5740,5759,0,0,0,0,0,0
289,5760,5779,0,0,0,0,0,0
290,5780,5799,0,0,0,0,0,0
291,5800,5819,0,0,0,0,0,0
292,5820,5839,0.00004300335426163241,0,0,0,0,0
